Subsidies Claimed,Government Schemes Accessed,Program Name,Scheme Enrollment Status,Vaccination Status,Health Insurance Linked,Consent Given for Data Sharing,Data Breach Status,Breach Date
221784.5352010315,PDS,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,No,
17269.42896277873,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2011-07-09
-131918.64419085346,Other,LPG Subsidy,Enrolled,Not Vaccinated,Yes,No,Yes,2017-12-01
-1246.6594052762666,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2013-05-02
28991.644758209797,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2012-06-23
33753.230467471745,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
54142.13800103298,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,Yes,Yes,No,
70040.60491129434,PDS,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2020-11-05
25542.67530757324,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,No,Yes,2020-05-17
-30555.27083032523,PDS,Other,Not Enrolled,Vaccinated,No,Yes,No,
37118.573189321876,PDS,Other,Enrolled,Vaccinated,No,No,Yes,2015-04-02
25211.240107009056,MGNREGA,Other,Enrolled,Vaccinated,Yes,Yes,Yes,2013-12-25
567.0752342514315,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
78980.19261191305,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,No,
181175.4608148578,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,No,
-56267.30784135772,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,Yes,2024-10-06
72468.72254880879,MGNREGA,Other,Enrolled,Not Vaccinated,Yes,Yes,No,
-61489.053634424476,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2015-04-29
146782.69324971008,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,No,Yes,2016-02-27
186027.09265782722,MGNREGA,Other,Enrolled,Vaccinated,No,No,Yes,2015-09-10
188812.43271041845,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2023-10-30
-185867.29333736017,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,No,
-19064.723965121157,Other,Other,Not Enrolled,Vaccinated,Yes,No,No,
-82469.85874100936,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
57965.991000078684,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
120047.77560380162,Other,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2019-07-23
42456.44684184613,Other,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,Yes,No,Yes,2016-10-04
22076.71066395054,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,Yes,No,No,
-61630.43625455447,PDS,LPG Subsidy,Enrolled,Vaccinated,Yes,No,Yes,2012-03-02
19308.81532365524,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
108178.87643356979,PDS,Other,Enrolled,Vaccinated,Yes,Yes,No,
85957.45796370949,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
-13127.47139811913,Other,Other,Not Enrolled,Vaccinated,Yes,No,No,
45328.000752230946,Other,Other,Not Enrolled,Vaccinated,Yes,No,No,
-49980.0263454208,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,Yes,No,
52564.95636572766,MGNREGA,Other,Enrolled,Vaccinated,Yes,No,No,
65868.29972147217,Other,Other,Not Enrolled,Vaccinated,No,No,No,
34857.166637865346,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2013-10-13
-8152.591225072749,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
-3451.3906006224315,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
23207.03401530296,Other,Other,Not Enrolled,Vaccinated,No,No,No,
12964.856403794001,MGNREGA,LPG Subsidy,Enrolled,Not Vaccinated,Yes,Yes,No,
107228.6335736598,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2018-03-01
79026.31659949357,PDS,Other,Not Enrolled,Not Vaccinated,No,Yes,Yes,2016-10-06
62188.731884146575,PDS,Other,Enrolled,Vaccinated,No,Yes,Yes,2018-07-30
1672.3247451971984,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2010-09-16
-50672.17984999518,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
-13762.388953653663,PDS,Other,Not Enrolled,Vaccinated,Yes,No,No,
138285.19873909786,Other,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
18174.253151612895,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
49869.74781738885,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2011-07-06
52513.68294919297,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
73714.19329443492,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
75846.81932032722,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,Yes,2014-10-02
-40068.29997281321,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2015-05-22
58587.23389289384,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2016-10-13
45191.16058349177,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2012-02-28
19835.861472521327,PDS,Other,Enrolled,Vaccinated,Yes,Yes,No,
5747.465858177082,Other,Other,Not Enrolled,Vaccinated,No,Yes,No,
191637.1536308944,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2017-06-12
6255.36576113133,Other,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2016-09-16
79156.72484436304,PDS,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2012-01-23
55521.76960138201,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2021-03-06
44295.23119447164,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2014-05-23
110776.43868668583,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,Yes,2014-02-28
-30778.18416591826,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
-10389.91843647257,Other,Other,Not Enrolled,Vaccinated,No,No,No,
54533.57812308209,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
-21513.291058861738,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
182701.08969303343,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
38254.13993056773,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,No,Yes,2012-05-08
37436.82882065818,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
-21452.426151657564,Other,Other,Enrolled,Vaccinated,No,Yes,No,
34823.0036252387,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,No,Yes,2013-11-26
42820.08637254002,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,Yes,Yes,Yes,2023-11-28
-29045.017514183433,MGNREGA,Other,Enrolled,Vaccinated,No,No,Yes,2018-11-07
71245.99703444759,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
-24317.25416352078,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2010-01-23
-6393.529428274174,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,No,Yes,2020-12-02
41738.737239764174,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
15552.459352737911,Other,Other,Enrolled,Vaccinated,No,Yes,Yes,2013-03-07
43343.85881714813,PDS,Other,Not Enrolled,Vaccinated,No,No,Yes,2020-11-20
-76485.5078493384,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,Yes,No,Yes,2019-01-12
-95780.534249831,Other,Other,Not Enrolled,Not Vaccinated,No,No,No,
42019.651377566166,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
28981.792610424265,PDS,Other,Not Enrolled,Not Vaccinated,No,Yes,No,
9223.62769756761,Other,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,No,
18569.105929670215,PDS,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2023-10-31
54931.45240591364,PDS,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
129847.83646692683,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,Yes,2017-11-30
-9116.481539436194,Other,Other,Not Enrolled,Vaccinated,Yes,No,Yes,2013-07-30
66082.32313891759,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
-85434.1458380583,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2017-01-07
-40584.2675805669,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
97300.81391987455,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
24106.860164235444,Other,Other,Enrolled,Vaccinated,No,Yes,Yes,2024-01-12
-37396.67166050105,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,Yes,Yes,2021-12-22
15425.229257306913,MGNREGA,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
155187.81580750132,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,No,
7535.370214591923,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
39087.98941919359,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2011-03-29
55121.47914006135,PDS,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,No,
39519.381651956704,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2010-12-27
199375.03703937042,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
10438.6498471409,PDS,Other,Not Enrolled,Vaccinated,Yes,Yes,Yes,2020-07-03
14631.561528848231,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
43482.12193004671,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2013-08-03
77844.10157638483,PDS,Other,Not Enrolled,Vaccinated,Yes,Yes,Yes,2013-01-12
119128.93461384776,PDS,Other,Not Enrolled,Vaccinated,No,Yes,No,
52726.85302206864,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,Yes,Yes,Yes,2022-07-29
51721.24561646294,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,Yes,2017-10-24
36178.56630039662,Other,Other,Not Enrolled,Not Vaccinated,No,No,No,
106277.85710259732,Other,Other,Enrolled,Vaccinated,No,Yes,No,
564.9786169019144,Other,Other,Not Enrolled,Vaccinated,No,No,Yes,2020-08-17
24987.1523891801,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2014-02-01
92192.19181383288,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,Yes,2019-01-02
202697.32560308249,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,Yes,2023-11-21
13005.526694573202,Other,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,No,No,
55866.599596002605,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
43376.81299746141,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2018-05-05
-104088.78214668669,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
23037.621035170137,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2015-10-20
70045.29531229164,Other,Other,Enrolled,Vaccinated,No,Yes,Yes,2020-11-11
-149989.20418086593,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,Yes,2016-11-22
164485.64819647116,Other,Other,Enrolled,Vaccinated,Yes,No,Yes,2018-02-26
57237.49876158514,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2010-12-16
41505.75329345578,PDS,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,Yes,2015-03-06
28838.075489769384,PDS,LPG Subsidy,Enrolled,Not Vaccinated,Yes,Yes,No,
90112.781252025,Other,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,Yes,2023-07-03
5492.201004863957,Other,Other,Enrolled,Vaccinated,No,Yes,Yes,2015-12-24
5719.462827575082,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2019-07-02
27504.844990143472,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,Yes,Yes,No,
-29736.007776107755,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,No,
85771.91506457415,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2024-04-18
130876.23360034976,Other,Other,Not Enrolled,Vaccinated,No,No,Yes,2017-10-30
-2131.543792648452,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,No,
89958.07073238342,Other,Other,Not Enrolled,Vaccinated,Yes,Yes,Yes,2010-01-03
-48624.435214776786,Other,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2016-04-05
48499.929743393965,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,No,
-24068.32233545871,PDS,Other,Not Enrolled,Vaccinated,No,No,Yes,2016-03-30
19301.40074856345,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,No,
76335.68037030657,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,No,
121534.21647289477,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,Yes,No,Yes,2010-10-07
33435.69598332402,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
60214.995679470354,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2019-01-01
79260.85020155329,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
-29146.987843027702,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
-29007.93320087847,Other,Other,Not Enrolled,Vaccinated,Yes,No,Yes,2015-04-07
49236.55729650159,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
41560.108179020404,Other,Other,Enrolled,Vaccinated,No,No,Yes,2016-03-19
164208.71825747442,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
21218.871041672366,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2010-10-03
50886.681235883356,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,No,
86523.30702684715,PDS,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,Yes,2022-07-15
6393.038277611382,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2020-09-25
32095.558151910987,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
-51434.37429000267,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2016-02-13
-7894.949865126422,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,No,
137025.24257800356,Other,Other,Not Enrolled,Not Vaccinated,Yes,Yes,No,
49537.8067716537,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,Yes,2022-05-08
7312.925489261686,PDS,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,No,
-24013.876412741178,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2022-07-22
6707.195583897912,PDS,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2024-08-29
-7986.755334973419,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,No,
31646.18217671691,Other,Other,Enrolled,Vaccinated,No,Yes,Yes,2018-07-12
-10575.770018297688,MGNREGA,LPG Subsidy,Enrolled,Not Vaccinated,Yes,No,Yes,2014-03-19
129273.01855741037,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,No,
252158.3925491892,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
-9561.874784172112,PDS,Other,Not Enrolled,Vaccinated,No,Yes,No,
10033.431828966432,PDS,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,No,
13676.516311901802,Other,Other,Not Enrolled,Not Vaccinated,Yes,Yes,No,
-4290.1120346478965,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2018-07-21
48763.95296259191,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
-25354.63054607564,PDS,LPG Subsidy,Not Enrolled,Vaccinated,Yes,Yes,No,
60636.45924339078,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
63067.11970457059,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2014-08-23
-23713.6914033539,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2014-10-21
10956.940159784881,PDS,Other,Not Enrolled,Vaccinated,No,No,Yes,2018-05-24
6231.809006757019,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,No,
54984.98249565466,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,Yes,Yes,No,
47523.307802441814,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
-18536.845931380216,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,No,No,
84587.73950658231,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2012-02-10
24769.38719791561,Other,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,No,
29731.02468630099,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
-52460.88190168209,Other,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2017-06-05
113200.351616063,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2024-05-21
77466.08928005259,Other,Other,Not Enrolled,Vaccinated,No,No,No,
-23905.17464377384,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,No,
59591.00025231457,PDS,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2017-09-29
-39046.085191180515,Other,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,Yes,2022-03-27
84402.05093274225,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
-111547.15033675241,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
77232.39625602723,MGNREGA,Other,Enrolled,Not Vaccinated,No,Yes,No,
42459.27117250365,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2021-03-06
-33315.134069661435,Other,Other,Enrolled,Vaccinated,No,Yes,No,
75853.6403718038,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,Yes,2011-12-27
43988.70154175266,PDS,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2011-06-13
-86691.38592607612,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,No,
83243.35218129869,PDS,Other,Enrolled,Vaccinated,No,No,Yes,2016-10-03
8388.758093364011,MGNREGA,Other,Enrolled,Vaccinated,Yes,No,Yes,2010-07-24
68945.43554194263,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,No,
-50675.51257794014,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
26286.28928716274,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,No,
-1453.9143660782956,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2019-07-16
10678.57840242748,MGNREGA,Other,Not Enrolled,Vaccinated,Yes,Yes,Yes,2011-08-27
17931.072227509794,MGNREGA,Other,Enrolled,Not Vaccinated,Yes,No,Yes,2019-08-05
