State,City,Origin State,Religion,Caste,Education Level,Occupation,Household Size,Income Bracket
Manipur,Panvel,Odisha,Buddhist,OBC,Higher Secondary,Daily Wage Worker,0.7189959628496103,Below Poverty Line
Maharashtra,Raiganj,Tamil Nadu,Sikh,OBC,Higher Secondary,IT Professional,2.895901155573382,Lower Middle Class
Sikkim,Dindigul,Nagaland,Hindu,General,Secondary,Doctor,9.312906949610142,Lower Middle Class
Gujarat,Vasai-Virar,Arunachal Pradesh,Hindu,SC,Graduate,Engineer,10.533358008630369,Middle Class
Arunachal Pradesh,Mango,Chhattisgarh,Hindu,OBC,Post Graduate,Farmer,0.5415141493551587,Below Poverty Line
Assam,Faridabad,Karnataka,Hindu,OBC,Higher Secondary,Daily Wage Worker,5.5387072886805,Lower Middle Class
Karnataka,Chinsurah,Nagaland,Hindu,General,Secondary,Farmer,1.3236007777637013,Below Poverty Line
Chhattisgarh,Tirunelveli,Karnataka,Hindu,SC,Higher Secondary,Daily Wage Worker,8.742497886940656,Middle Class
Gujarat,Salem,Chhattisgarh,Hindu,General,Graduate,Teacher,-8.866693162547865,Middle Class
Mizoram,Patiala,Telangana,Hindu,General,Secondary,Farmer,4.794981441209326,Below Poverty Line
Goa,Eluru,Bihar,Hindu,OBC,Secondary,Daily Wage Worker,7.250115618041591,Lower Middle Class
West Bengal,Bhiwandi,Gujarat,Hindu,OBC,Post Graduate,Businessman,14.314164508507586,Upper Middle Class
Nagaland,Khammam,Punjab,Hindu,General,Higher Secondary,Engineer,5.946657985337057,Lower Middle Class
Punjab,Madanapalle,Nagaland,Hindu,OBC,Graduate,Businessman,11.507093659743674,Rich
Arunachal Pradesh,Alappuzha,Tripura,Hindu,OBC,Graduate,Farmer,10.536301127107176,Lower Middle Class
Nagaland,Bellary,Manipur,Hindu,OBC,Secondary,Daily Wage Worker,14.883324625773799,Lower Middle Class
Meghalaya,Maheshtala,Goa,Christian,OBC,Secondary,Businessman,-3.1153776753316267,Lower Middle Class
Mizoram,Yamunanagar,Punjab,Hindu,OBC,Graduate,IT Professional,5.152887079537349,Upper Middle Class
Odisha,Faridabad,West Bengal,Hindu,General,Higher Secondary,Doctor,30.059359511229932,Middle Class
Punjab,Guntur,West Bengal,Muslim,ST,Secondary,Businessman,-5.245337327583179,Middle Class
Bihar,Meerut,Assam,Hindu,General,Higher Secondary,Farmer,7.865799230564064,Lower Middle Class
Arunachal Pradesh,Bilaspur,Mizoram,Hindu,OBC,Primary,Daily Wage Worker,-5.493639350798077,Lower Middle Class
Meghalaya,Udaipur,Maharashtra,Hindu,General,Higher Secondary,Daily Wage Worker,9.134470633306552,Lower Middle Class
Mizoram,Tezpur,Jharkhand,Hindu,General,Graduate,Daily Wage Worker,3.333822938545366,Upper Middle Class
Uttarakhand,Agra,Kerala,Muslim,ST,Post Graduate,Farmer,3.5256014687169133,Middle Class
Maharashtra,Jamshedpur,Arunachal Pradesh,Muslim,OBC,Secondary,Businessman,15.075582418873246,Upper Middle Class
Andhra Pradesh,Gwalior,Odisha,Hindu,OBC,Higher Secondary,Engineer,11.990456769047459,Upper Middle Class
Madhya Pradesh,Shimoga,Tripura,Hindu,General,Graduate,Businessman,-29.94705444865891,Middle Class
Chhattisgarh,Khandwa,Haryana,Hindu,ST,Post Graduate,Engineer,-9.13226197764333,Lower Middle Class
Odisha,Jamnagar,Himachal Pradesh,Hindu,SC,Graduate,IT Professional,0.6172198785432004,Middle Class
Manipur,Saharanpur,Jharkhand,Hindu,ST,Secondary,Teacher,27.428295828053823,Lower Middle Class
Meghalaya,Anand,Karnataka,Hindu,SC,Graduate,Engineer,5.4111179539328695,Middle Class
Nagaland,Tiruchirappalli,Manipur,Hindu,OBC,Graduate,Daily Wage Worker,22.305561890438483,Upper Middle Class
Uttar Pradesh,Ludhiana,Tamil Nadu,Hindu,General,Secondary,IT Professional,11.77694498421341,Lower Middle Class
Meghalaya,Haldia,Tamil Nadu,Hindu,General,Graduate,Farmer,13.128187072712386,Lower Middle Class
Himachal Pradesh,Avadi,Nagaland,Hindu,OBC,Primary,Businessman,9.596130486588585,Lower Middle Class
Karnataka,Saharanpur,Karnataka,Hindu,General,Higher Secondary,Daily Wage Worker,-7.695142621812698,Middle Class
Kerala,Bareilly,Nagaland,Muslim,General,Post Graduate,Businessman,-11.915328035772966,Lower Middle Class
Jharkhand,Mathura,Manipur,Hindu,OBC,Secondary,Businessman,21.260477239975987,Middle Class
Karnataka,Warangal,West Bengal,Hindu,SC,Secondary,Daily Wage Worker,3.3413518035467344,Upper Middle Class
Bihar,Amritsar,Kerala,Buddhist,General,Graduate,Businessman,-13.570338605763894,Middle Class
Odisha,Phusro,Tripura,Muslim,SC,Graduate,Engineer,14.67690730297914,Lower Middle Class
Gujarat,Bangalore,Mizoram,Hindu,General,Graduate,Farmer,-1.7047310548780708,Middle Class
Karnataka,Kalyan-Dombivli,Maharashtra,Hindu,OBC,Primary,Daily Wage Worker,0.050518431774666084,Rich
Uttarakhand,Kanpur,Bihar,Hindu,SC,Higher Secondary,Businessman,8.631199934385537,Upper Middle Class
Mizoram,Malda,Tripura,Hindu,ST,Post Graduate,Engineer,12.23149155399929,Lower Middle Class
Karnataka,Karawal Nagar,Odisha,Hindu,OBC,Graduate,Farmer,30.004699679268096,Below Poverty Line
Meghalaya,Katni,Madhya Pradesh,Hindu,SC,Graduate,Farmer,-15.293958175749609,Lower Middle Class
Assam,Tumkur,Uttar Pradesh,Hindu,OBC,Higher Secondary,Doctor,56.44121062345467,Below Poverty Line
Bihar,Orai,Jharkhand,Hindu,OBC,Higher Secondary,Farmer,-0.546024027042312,Middle Class
Tamil Nadu,Bhatpara,Uttar Pradesh,Hindu,General,Secondary,Teacher,-0.23107025506018797,Middle Class
Himachal Pradesh,Morena,Mizoram,Hindu,OBC,Post Graduate,Businessman,4.206238152660881,Middle Class
Karnataka,Kumbakonam,Uttarakhand,Hindu,OBC,Higher Secondary,Farmer,19.638076736310165,Middle Class
Sikkim,Katni,Nagaland,Hindu,OBC,Graduate,Farmer,-10.459476258473117,Middle Class
Chhattisgarh,Hazaribagh,Chhattisgarh,Muslim,ST,Doctorate,Farmer,14.434986477235572,Below Poverty Line
Meghalaya,North Dumdum,Arunachal Pradesh,Hindu,SC,Graduate,Daily Wage Worker,17.354574450382636,Middle Class
Uttar Pradesh,Bulandshahr,Meghalaya,Hindu,OBC,Graduate,Businessman,-13.850199730528736,Middle Class
Uttarakhand,Ballia,Maharashtra,Hindu,SC,Graduate,Businessman,3.6997042418475248,Lower Middle Class
Assam,Gurgaon,Punjab,Hindu,General,Graduate,Daily Wage Worker,15.324290597987119,Middle Class
Madhya Pradesh,Madanapalle,Meghalaya,Hindu,General,Higher Secondary,Farmer,5.877071868251457,Rich
Chhattisgarh,New Delhi,Punjab,Hindu,OBC,Post Graduate,IT Professional,6.0143962817893515,Middle Class
Tamil Nadu,Kulti,Assam,Hindu,OBC,Primary,Businessman,2.946750273019421,Middle Class
Tamil Nadu,Katihar,Uttarakhand,Muslim,OBC,Secondary,Businessman,-19.364080877866012,Upper Middle Class
Kerala,Miryalaguda,Uttar Pradesh,Hindu,General,Secondary,Daily Wage Worker,-9.84881211955414,Lower Middle Class
Goa,Bikaner,Rajasthan,Muslim,OBC,Secondary,Daily Wage Worker,4.022942677065918,Upper Middle Class
Rajasthan,Gulbarga,Maharashtra,Hindu,OBC,Higher Secondary,Daily Wage Worker,-8.302054528914734,Rich
Meghalaya,Serampore,Tamil Nadu,Hindu,General,Secondary,Businessman,25.819803350952032,Below Poverty Line
Uttar Pradesh,Hindupur,Mizoram,Hindu,General,Secondary,Businessman,8.7275456889031,Below Poverty Line
Bihar,Jabalpur,Uttarakhand,Hindu,OBC,Post Graduate,Farmer,6.580495922512236,Middle Class
West Bengal,Rajkot,Jharkhand,Hindu,SC,Secondary,IT Professional,4.5164698610804574,Below Poverty Line
Odisha,Nizamabad,Tamil Nadu,Muslim,General,Graduate,Teacher,-2.226741613874924,Lower Middle Class
Gujarat,Kollam,Odisha,Hindu,OBC,Post Graduate,Businessman,-11.957408502950958,Lower Middle Class
Nagaland,Rohtak,Gujarat,Hindu,SC,Graduate,Doctor,1.3957719239241297,Lower Middle Class
Assam,Raichur,Sikkim,Sikh,OBC,Higher Secondary,Farmer,-9.68294820995013,Upper Middle Class
Uttarakhand,Bellary,Sikkim,Hindu,SC,Graduate,Farmer,22.51067261735211,Middle Class
Uttar Pradesh,Katihar,Karnataka,Hindu,OBC,Higher Secondary,IT Professional,-12.394575490865058,Middle Class
Himachal Pradesh,Ozhukarai,Rajasthan,Hindu,ST,Higher Secondary,Engineer,-0.5534597093759235,Lower Middle Class
Karnataka,Bidhannagar,Arunachal Pradesh,Hindu,OBC,Primary,IT Professional,7.4000741940096795,Lower Middle Class
Bihar,Chapra,Madhya Pradesh,Sikh,General,Primary,Farmer,2.0284748581597807,Below Poverty Line
Sikkim,Cuttack,Manipur,Hindu,OBC,Higher Secondary,Farmer,14.833290124035795,Upper Middle Class
Odisha,Ozhukarai,Meghalaya,Hindu,General,Higher Secondary,Businessman,-3.262908941537174,Below Poverty Line
Gujarat,Guna,Jharkhand,Hindu,OBC,Higher Secondary,IT Professional,-7.319146019363007,Lower Middle Class
Maharashtra,Kolhapur,Himachal Pradesh,Muslim,OBC,Higher Secondary,Farmer,6.644745304850634,Middle Class
Andhra Pradesh,Belgaum,Rajasthan,Hindu,ST,Primary,Daily Wage Worker,-1.4235568601450463,Lower Middle Class
Uttarakhand,Guwahati,Uttarakhand,Hindu,OBC,Secondary,Teacher,17.840742928822145,Rich
Karnataka,Solapur,Madhya Pradesh,Hindu,SC,Higher Secondary,Engineer,9.049116189461099,Below Poverty Line
Tamil Nadu,Khammam,Mizoram,Hindu,General,Higher Secondary,Teacher,11.662406248930454,Below Poverty Line
Andhra Pradesh,Madurai,Kerala,Hindu,OBC,Graduate,Farmer,-21.9883253818894,Rich
Arunachal Pradesh,Shivpuri,Haryana,Hindu,OBC,Graduate,Farmer,-14.218861030618463,Lower Middle Class
Meghalaya,Panihati,Uttarakhand,Hindu,General,Post Graduate,Engineer,15.356009447417804,Lower Middle Class
Chhattisgarh,Ahmednagar,Uttarakhand,Hindu,OBC,Primary,Farmer,2.034722197600356,Lower Middle Class
Mizoram,Katihar,Uttarakhand,Hindu,SC,Post Graduate,Businessman,4.282012384587305,Lower Middle Class
Jharkhand,Mysore,Jharkhand,Hindu,General,Graduate,Farmer,4.012438035108964,Lower Middle Class
Arunachal Pradesh,Rajkot,Sikkim,Hindu,OBC,Higher Secondary,Teacher,8.93871966587776,Lower Middle Class
Jharkhand,Medininagar,Karnataka,Muslim,SC,Graduate,Farmer,-4.1045877401638435,Below Poverty Line
Jharkhand,Rewa,Rajasthan,Hindu,SC,Higher Secondary,Businessman,12.45606551833632,Lower Middle Class
Manipur,Jaunpur,Uttarakhand,Hindu,OBC,Graduate,Daily Wage Worker,-17.452549113424134,Middle Class
Jharkhand,Farrukhabad,Nagaland,Muslim,General,Higher Secondary,IT Professional,33.23006983445531,Lower Middle Class
Assam,Rajkot,Andhra Pradesh,Hindu,OBC,Higher Secondary,Engineer,10.289740936077155,Lower Middle Class
Telangana,Anantapuram,Kerala,Hindu,OBC,Graduate,Doctor,13.842339271348395,Lower Middle Class
Goa,Jehanabad,Assam,Muslim,OBC,Graduate,IT Professional,4.73691098696232,Lower Middle Class
Arunachal Pradesh,Hubli–Dharwad,Mizoram,Hindu,OBC,Higher Secondary,Farmer,10.931433621992753,Middle Class
Jharkhand,Mirzapur,Punjab,Hindu,OBC,Higher Secondary,Daily Wage Worker,-45.48587632461357,Rich
Sikkim,Hindupur,Nagaland,Hindu,OBC,Higher Secondary,Teacher,40.966487479965814,Lower Middle Class
Himachal Pradesh,Navi Mumbai,Andhra Pradesh,Hindu,General,Higher Secondary,Farmer,-28.37198139389855,Upper Middle Class
Sikkim,Patna,Mizoram,Hindu,OBC,Graduate,Farmer,4.4499321695209755,Below Poverty Line
Andhra Pradesh,Bhimavaram,Mizoram,Buddhist,OBC,Higher Secondary,Doctor,-5.67805671151722,Below Poverty Line
West Bengal,Bhalswa Jahangir Pur,Tamil Nadu,Hindu,OBC,Secondary,Engineer,2.5866899407486423,Upper Middle Class
West Bengal,Lucknow,Himachal Pradesh,Hindu,OBC,Secondary,Daily Wage Worker,1.5746755389314235,Middle Class
West Bengal,Sri Ganganagar,Himachal Pradesh,Hindu,General,Post Graduate,Teacher,1.8878958922661815,Upper Middle Class
West Bengal,Tirunelveli,Jharkhand,Hindu,OBC,Graduate,Daily Wage Worker,8.981140941068261,Lower Middle Class
West Bengal,Bulandshahr,Telangana,Muslim,General,Higher Secondary,Daily Wage Worker,15.637852901613522,Lower Middle Class
Jharkhand,Ballia,Assam,Other,OBC,Secondary,Farmer,-0.9320035229609593,Below Poverty Line
Odisha,Siwan,Sikkim,Hindu,General,Secondary,Daily Wage Worker,8.355267734528637,Middle Class
Tripura,Mumbai,Uttarakhand,Muslim,General,Higher Secondary,Farmer,28.401003231838146,Lower Middle Class
Sikkim,Bardhaman,Sikkim,Hindu,ST,Graduate,Daily Wage Worker,6.196560846967534,Lower Middle Class
Rajasthan,Chandigarh,Chhattisgarh,Hindu,OBC,Post Graduate,IT Professional,2.9790605127579615,Middle Class
Nagaland,Tiruchirappalli,West Bengal,Hindu,SC,Higher Secondary,Daily Wage Worker,16.736486709144593,Below Poverty Line
West Bengal,Ludhiana,Kerala,Muslim,OBC,Secondary,Engineer,-60.57225282831213,Upper Middle Class
Bihar,Belgaum,Mizoram,Hindu,General,Graduate,Businessman,1.1401513376116486,Below Poverty Line
Gujarat,Madurai,Andhra Pradesh,Hindu,General,Secondary,Businessman,-7.380499388016641,Lower Middle Class
Maharashtra,Jabalpur,Chhattisgarh,Muslim,OBC,Primary,Businessman,28.250202056203715,Rich
Manipur,Bhiwani,Goa,Hindu,ST,Secondary,IT Professional,2.469466710442429,Lower Middle Class
Tamil Nadu,Raipur,Maharashtra,Hindu,SC,Graduate,Farmer,30.873043822369375,Upper Middle Class
Mizoram,Tirupati,Haryana,Muslim,SC,Graduate,Farmer,14.538442874485273,Upper Middle Class
Uttarakhand,Hosur,Madhya Pradesh,Other,General,Graduate,Businessman,-11.915212274916575,Middle Class
Mizoram,Ahmedabad,Maharashtra,Hindu,General,Secondary,Daily Wage Worker,-13.477053519164478,Below Poverty Line
Maharashtra,Thrissur,Punjab,Hindu,OBC,Primary,Businessman,12.695640286791274,Middle Class
Uttarakhand,Jorhat,West Bengal,Hindu,General,Graduate,Businessman,-4.324085626567937,Lower Middle Class
Andhra Pradesh,Pudukkottai,Maharashtra,Muslim,General,Graduate,Farmer,-5.252445262007111,Below Poverty Line
Maharashtra,Kota,Kerala,Hindu,OBC,Higher Secondary,Businessman,18.7352012109481,Lower Middle Class
Nagaland,Jamalpur,Mizoram,Christian,OBC,Higher Secondary,Daily Wage Worker,-19.571450309938847,Lower Middle Class
Nagaland,Haridwar,Odisha,Muslim,SC,Graduate,Businessman,-21.525491660676327,Lower Middle Class
Andhra Pradesh,Haridwar,Uttar Pradesh,Hindu,OBC,Primary,Daily Wage Worker,-0.10577782303851091,Upper Middle Class
Manipur,Dewas,Rajasthan,Hindu,OBC,Graduate,Teacher,-4.93617393519252,Middle Class
Jharkhand,Kulti,Tamil Nadu,Hindu,ST,Higher Secondary,Daily Wage Worker,-25.207380763994887,Upper Middle Class
Arunachal Pradesh,Aizawl,Bihar,Muslim,OBC,Higher Secondary,Engineer,-0.6933822184867062,Middle Class
Chhattisgarh,Jamshedpur,Meghalaya,Hindu,General,Higher Secondary,Daily Wage Worker,4.060052671862564,Lower Middle Class
Telangana,Dewas,Jharkhand,Muslim,General,Primary,IT Professional,6.79964740367613,Middle Class
Punjab,Shahjahanpur,Chhattisgarh,Hindu,SC,Graduate,Farmer,1.817370547232514,Lower Middle Class
Jharkhand,Bangalore,Punjab,Muslim,OBC,Higher Secondary,Businessman,-2.479344081065597,Below Poverty Line
Bihar,Mahbubnagar,Jharkhand,Hindu,OBC,Graduate,Teacher,6.150733085980121,Middle Class
Uttarakhand,Bhilai,Telangana,Hindu,General,Secondary,Engineer,16.693779041339642,Upper Middle Class
Haryana,Pondicherry,Haryana,Muslim,OBC,Doctorate,Engineer,0.6642274856815655,Lower Middle Class
Manipur,Ujjain,Mizoram,Hindu,OBC,Secondary,Engineer,17.526793669034603,Middle Class
Gujarat,Serampore,Meghalaya,Hindu,General,Secondary,Engineer,8.648944384954765,Lower Middle Class
Bihar,Sambalpur,Rajasthan,Hindu,OBC,Primary,Engineer,-17.3399813691717,Middle Class
Nagaland,Ahmedabad,Mizoram,Muslim,OBC,Higher Secondary,Farmer,1.06334739353658,Rich
Nagaland,Ramgarh,Tripura,Hindu,General,Higher Secondary,Engineer,-8.940991977753335,Middle Class
Sikkim,Dharmavaram,Uttar Pradesh,Hindu,OBC,Doctorate,Engineer,3.9307737397719835,Lower Middle Class
Jharkhand,Thrissur,Maharashtra,Hindu,OBC,Graduate,Businessman,5.85732803527087,Below Poverty Line
Maharashtra,Sambhal,Madhya Pradesh,Hindu,General,Secondary,Teacher,-22.4066661270708,Below Poverty Line
Uttarakhand,Hindupur,Arunachal Pradesh,Hindu,OBC,Higher Secondary,Engineer,-2.2917198973637527,Upper Middle Class
Himachal Pradesh,Bathinda,West Bengal,Hindu,OBC,Graduate,Businessman,11.442557581065381,Upper Middle Class
Jharkhand,Phusro,Andhra Pradesh,Hindu,General,Higher Secondary,Businessman,18.744538845955148,Below Poverty Line
Karnataka,Bhiwandi,Punjab,Hindu,SC,Secondary,Teacher,16.807084213466485,Below Poverty Line
Bihar,Sasaram,Andhra Pradesh,Hindu,OBC,Graduate,Daily Wage Worker,20.677046070302794,Lower Middle Class
Tripura,Amritsar,Jharkhand,Hindu,General,Post Graduate,Farmer,8.824533628718878,Upper Middle Class
Telangana,Sultan Pur Majra,Tripura,Hindu,General,Graduate,Businessman,8.897509807638752,Middle Class
West Bengal,Sangli-Miraj & Kupwad,Punjab,Hindu,General,Higher Secondary,Businessman,1.71061853263115,Middle Class
Tamil Nadu,Bhusawal,Assam,Hindu,OBC,Higher Secondary,Businessman,4.370041767202669,Middle Class
Meghalaya,Sonipat,Jharkhand,Hindu,OBC,Higher Secondary,Daily Wage Worker,4.787404583220486,Below Poverty Line
Tamil Nadu,Sultan Pur Majra,Punjab,Hindu,General,Higher Secondary,Doctor,5.851920447561871,Lower Middle Class
Punjab,Jalgaon,Maharashtra,Hindu,OBC,Doctorate,Businessman,-3.5817252027283697,Below Poverty Line
Tripura,Asansol,Arunachal Pradesh,Muslim,General,Secondary,Businessman,0.9460893343252722,Middle Class
Tripura,Raichur,Haryana,Hindu,OBC,Higher Secondary,Farmer,-16.50582146463461,Lower Middle Class
Nagaland,Bardhaman,Rajasthan,Muslim,OBC,Primary,Farmer,0.19934135641967288,Lower Middle Class
Arunachal Pradesh,Kishanganj,Uttarakhand,Muslim,ST,Higher Secondary,Businessman,-12.011114149871705,Middle Class
Tamil Nadu,Navi Mumbai,Maharashtra,Hindu,General,Higher Secondary,Engineer,12.850104676478026,Lower Middle Class
Maharashtra,Pondicherry,Madhya Pradesh,Hindu,ST,Higher Secondary,IT Professional,16.2010359386043,Upper Middle Class
Goa,Farrukhabad,Assam,Hindu,SC,Higher Secondary,Farmer,4.782499821168591,Below Poverty Line
Mizoram,Nizamabad,Kerala,Muslim,General,Post Graduate,Daily Wage Worker,4.3606723036904,Lower Middle Class
Odisha,Imphal,Sikkim,Sikh,General,Primary,IT Professional,1.189699550903399,Lower Middle Class
Goa,Katni,Uttarakhand,Hindu,OBC,Secondary,IT Professional,5.92088842030614,Middle Class
Gujarat,Anand,Sikkim,Hindu,SC,Secondary,Businessman,-37.94927701056478,Upper Middle Class
Uttar Pradesh,Ghaziabad,Meghalaya,Hindu,OBC,Higher Secondary,Farmer,15.039568823841218,Upper Middle Class
Gujarat,Hospet,Meghalaya,Hindu,OBC,Secondary,Businessman,-0.6614532519408372,Below Poverty Line
Sikkim,Hubli–Dharwad,Bihar,Hindu,General,Higher Secondary,Teacher,-2.1723859112691715,Upper Middle Class
Andhra Pradesh,Nagpur,Uttarakhand,Hindu,OBC,Doctorate,Farmer,8.078415926174559,Lower Middle Class
Manipur,Agartala,Karnataka,Hindu,General,Higher Secondary,Teacher,-1.9360184224991466,Upper Middle Class
Haryana,Bikaner,Meghalaya,Buddhist,OBC,Graduate,Teacher,11.404345492235073,Middle Class
Punjab,Nizamabad,Meghalaya,Muslim,OBC,Higher Secondary,Farmer,21.205621661734725,Upper Middle Class
Gujarat,Khammam,Maharashtra,Hindu,General,Higher Secondary,Teacher,3.357174219952907,Upper Middle Class
Haryana,Mango,Tamil Nadu,Hindu,OBC,Primary,Farmer,7.385260233019772,Lower Middle Class
Uttar Pradesh,Kota,Rajasthan,Hindu,OBC,Doctorate,Engineer,-30.280129576562963,Middle Class
Madhya Pradesh,Proddatur,Andhra Pradesh,Hindu,General,Higher Secondary,Farmer,7.19995421548489,Lower Middle Class
Meghalaya,Khammam,Assam,Hindu,OBC,Secondary,Teacher,19.048275406336803,Lower Middle Class
Tripura,Durgapur,Tamil Nadu,Hindu,ST,Graduate,Businessman,7.716129513936148,Middle Class
Assam,Shimoga,Andhra Pradesh,Hindu,OBC,Secondary,Engineer,17.86421380493676,Below Poverty Line
Telangana,Jhansi,Uttar Pradesh,Hindu,General,Higher Secondary,Businessman,8.626386377853699,Lower Middle Class
Andhra Pradesh,Raipur,Rajasthan,Hindu,General,Primary,Daily Wage Worker,13.133030136273408,Lower Middle Class
Andhra Pradesh,South Dumdum,Tamil Nadu,Hindu,General,Doctorate,Businessman,-3.9435477378319472,Middle Class
Uttar Pradesh,Satna,Bihar,Hindu,ST,Higher Secondary,IT Professional,26.753876129079554,Middle Class
Madhya Pradesh,Jamshedpur,Bihar,Hindu,OBC,Higher Secondary,Businessman,7.852069797634895,Rich
Meghalaya,Patna,Assam,Hindu,General,Higher Secondary,Businessman,1.2848299906817848,Below Poverty Line
Tripura,Guntur,Assam,Hindu,SC,Higher Secondary,Businessman,-0.6078110061048587,Middle Class
Sikkim,Panchkula,Sikkim,Hindu,SC,Post Graduate,Daily Wage Worker,15.004930663523613,Middle Class
Gujarat,Kakinada,Jharkhand,Hindu,OBC,Graduate,Businessman,2.726550266195452,Upper Middle Class
Himachal Pradesh,Mehsana,Uttar Pradesh,Hindu,General,Higher Secondary,Doctor,-6.469833303584261,Middle Class
Meghalaya,Gudivada,Punjab,Hindu,General,Post Graduate,Businessman,16.304295449168865,Upper Middle Class
Karnataka,Bokaro,Maharashtra,Hindu,OBC,Secondary,Doctor,4.490566146301905,Middle Class
Bihar,Panipat,Goa,Hindu,ST,Post Graduate,Daily Wage Worker,1.583297586362594,Below Poverty Line
Chhattisgarh,Gorakhpur,Assam,Hindu,General,Graduate,Farmer,17.45043364275722,Middle Class
Kerala,Surendranagar Dudhrej,Arunachal Pradesh,Muslim,ST,Graduate,Businessman,-15.620527155771274,Upper Middle Class
